Title,Description,Eligibility Criteria,Benefits,Documents Required,Website,Category,State/Region,Income Limit,Age Limit,Gender,Occupation,Marital Status
"PM Kisan Samman Nidhi Yojana","A scheme that provides income support to farmers across India, aiming to provide financial assistance for agricultural needs.","Farmers in India with landholding up to 2 hectares.","₹6,000 annually for eligible farmers.","Aadhar card, bank details, land records.","https://pmkisan.gov.in/","Agriculture","India",null,null,"All","Farmers","Single, Married"
"Ujjwala Yojana","This scheme provides LPG connections to BPL families to promote cleaner cooking, particularly in rural areas.","BPL families with no LPG connection.","Free LPG connection to households.","Aadhar card, BPL certificate, bank details.","https://www.pmujjwalayojana.com/","Energy","India",null,null,"Female","Housewives, Rural women","Single, Married"
"Pradhan Mantri Awas Yojana","Affordable housing for low-income groups, this scheme aims to provide houses for all, with a focus on rural and urban poor.","Families with an annual income up to ₹3 lakh.","Subsidized housing loans for constructing houses.","Aadhar card, income certificate, land records.","https://pmaymis.gov.in/","Housing","India",300000,null,null,"Low-income families","Single, Married"
"Atal Pension Yojana","This pension scheme targets unorganized sector workers, providing financial security after retirement.","Individuals in the unorganized sector aged between 18-40.","Pension on reaching the age of 60, offering financial security.","Aadhar card, bank details.","https://www.npscra.nsdl.co.in/atal-pension-yojana.php","Pension","India",null,40,null,"Unorganized sector workers","Single, Married"
"Pradhan Mantri Jan Dhan Yojana","Aimed at ensuring financial inclusion, this scheme provides a zero-balance savings account to all citizens of India.","All Indian citizens.","Zero balance savings account with free debit card and banking services.","Aadhar card, bank details.","https://pmjdy.gov.in/","Financial Inclusion","India",null,null,null,"All","Single, Married"
"Swachh Bharat Mission","A national cleanliness drive to ensure open defecation-free India, targeting both rural and urban households.","Individuals in rural areas and urban households.","Financial support for constructing toilets, improving sanitation.","Aadhar card, property documents, photo.","https://swachhbharatmission.gov.in/","Sanitation","India",null,null,null,"Households","Single, Married"
"National Health Protection Scheme","A healthcare scheme to provide free medical treatment to families below the poverty line (BPL).","Families below the poverty line.","Up to ₹5 lakh annual health cover per family for medical treatment.","Aadhar card, BPL certificate.","https://www.pmjay.gov.in/","Healthcare","India",null,null,null,"Families below poverty line","Single, Married"
"Startup India Scheme","This initiative is designed to promote and nurture startups in India, providing funding and tax exemptions.","Indian citizens aged between 18-40 starting a new business.","Tax exemptions, funding, and business support for startups.","Business plan, Aadhar card, bank details.","https://www.startupindia.gov.in/","Entrepreneurship","India",null,40,null,"Entrepreneurs","Single, Married"
"Rashtriya Krishi Vikas Yojana","Aimed at enhancing agricultural growth, this scheme supports farmers with financial aid and modern farming practices.","Farmers engaged in agricultural activities.","Financial assistance for farming development, technology adoption.","Aadhar card, bank details, land records.","https://www.agricoop.nic.in/","Agriculture","India",null,null,null,"Farmers","Single, Married"
"Mid Day Meal Scheme","Provides free meals to school children, ensuring nutritional support in government schools.","Children studying in government schools.","Free meal daily for students.","Aadhar card, school enrollment.","https://mdm.nic.in/","Education","India",null,null,null,"Students","Single, Married"
